;"1. kolo
";;;;;;
;;HC Škoda Plzeň;5;"PÁ 11. 09.
(3:1, 1:0, 1:0)";1;"
HC Energie Karlovy Vary";
;;BK Mladá Boleslav;2;"PÁ 11. 09.
(0:1, 1:0, 1:0)";1;"
HC Dynamo Pardubice";
;;HC VERVA Litvínov;4;"PÁ 11. 09.
(1:0, 3:0, 0:0)";0;"
PSG Zlín";
;;HC Oceláři Třinec;3;"PÁ 11. 09.
(0:0, 1:0, 2:0)";0;"
Piráti Chomutov";
;;Mountfield HK;3;"PÁ 11. 09.
(0:1, 2:1, 1:1 - 0:0 - 0:1)";4;"S
HC VÍTKOVICE STEEL";
;;HC Kometa Brno;5;"PÁ 11. 09.
(3:1, 1:1, 1:0)";2;"
Bílí Tygři Liberec";
;;HC Sparta Praha;4;"PÁ 11. 09.
(2:0, 1:0, 1:1)";1;"
HC Olomouc";
;"2. kolo
";;;;;;
;;HC VÍTKOVICE STEEL;5;"NE 13. 09.
(1:0, 1:1, 3:0)";1;"
HC Kometa Brno";
;;HC Energie Karlovy Vary;2;"NE 13. 09.
(1:2, 1:2, 0:1)";5;"
HC Oceláři Třinec";
;;Bílí Tygři Liberec;4;"NE 13. 09.
(1:0, 0:1, 3:0)";1;"
HC VERVA Litvínov";
;;HC Dynamo Pardubice;1;"NE 13. 09.
(0:1, 1:1, 0:2)";4;"
HC Škoda Plzeň";
;;HC Olomouc;0;"NE 13. 09.
(0:1, 0:0, 0:1)";2;"
Mountfield HK";
;;PSG Zlín;3;"NE 13. 09.
(0:2, 2:2, 1:1)";5;"
HC Sparta Praha";
;;Piráti Chomutov;2;"NE 13. 09.
(0:0, 0:0, 2:1)";1;"
BK Mladá Boleslav";
;"3. kolo
";;;;;;
;;HC Oceláři Třinec;1;"PÁ 18. 09.
(0:0, 0:2, 1:0)";2;"
PSG Zlín";
;;HC Škoda Plzeň;2;"PÁ 18. 09.
(0:1, 1:1, 1:2)";4;"
Bílí Tygři Liberec";
;;Piráti Chomutov;3;"PÁ 18. 09.
(1:0, 0:1, 2:0)";1;"
HC Dynamo Pardubice";
;;BK Mladá Boleslav;1;"PÁ 18. 09.
(0:0, 0:0, 1:1 - 0:0 - 0:1)";2;"S
HC Olomouc";
;;Mountfield HK;6;"PÁ 18. 09.
(0:2, 4:2, 2:0)";4;"
HC VERVA Litvínov";
;;HC Kometa Brno;4;"PÁ 18. 09.
(1:1, 1:1, 2:0)";2;"
HC Energie Karlovy Vary";
;;HC Sparta Praha;6;"PÁ 18. 09.
(2:1, 4:0, 0:1)";2;"
HC VÍTKOVICE STEEL";
;"4. kolo
";;;;;;
;;Bílí Tygři Liberec;4;"NE 20. 09.
(0:2, 3:0, 1:0)";2;"
Mountfield HK";
;;PSG Zlín;2;"NE 20. 09.
(0:1, 1:0, 1:3)";4;"
BK Mladá Boleslav";
;;HC Olomouc;3;"NE 20. 09.
(0:1, 1:0, 2:1)";2;"
HC Škoda Plzeň";
;;HC VÍTKOVICE STEEL;0;"NE 20. 09.
(0:2, 0:0, 0:1)";3;"
Piráti Chomutov";
;;HC VERVA Litvínov;2;"NE 20. 09.
(1:1, 1:1, 0:1)";3;"
HC Kometa Brno";
;;HC Dynamo Pardubice;4;"NE 20. 09.
(1:0, 2:1, 1:0)";1;"
HC Oceláři Třinec";
;;HC Energie Karlovy Vary;6;"NE 20. 09.
(2:2, 4:0, 0:1)";3;"
HC Sparta Praha";
;"5. kolo
";;;;;;
;;HC Oceláři Třinec;3;"ČT 24. 09.
(1:0, 1:1, 1:0)";1;"
HC VÍTKOVICE STEEL";
;;HC Škoda Plzeň;4;"PÁ 25. 09.
(0:0, 0:3, 3:0 - 1:0)";3;"
HC VERVA Litvínov";
;;BK Mladá Boleslav;3;"PÁ 25. 09.
(0:0, 1:0, 2:1)";1;"
Bílí Tygři Liberec";
;;Piráti Chomutov;2;"PÁ 25. 09.
(0:0, 1:0, 0:1 - 0:0 - 1:0)";1;"S
PSG Zlín";
;;HC Dynamo Pardubice;4;"PÁ 25. 09.
(2:0, 2:1, 0:2)";3;"
HC Energie Karlovy Vary";
